matrixName;Edge Cut;cut size;cut cost;imbalance
HB/lshp_406.mtx;0.001000 s;41;41.000000;0.000000
HB/bcsstk28.mtx;0.004000 s;175;3395.000000;0.000227
HB/dwt_492.mtx;0.001000 s;3;3.000000;0.000000
HB/jagmesh7.mtx;0.002000 s;27;27.000000;0.000000
HB/bcspwr04.mtx;0.001000 s;15;15.000000;0.000000
HB/can_715.mtx;0.002000 s;145;145.000000;0.000699
HB/bcsstk11.mtx;0.002000 s;49;278.000000;0.000339
HB/lock_700.mtx;0.001000 s;66;672.000000;0.001429
HB/662_bus.mtx;0.002000 s;17;17.000000;0.000000
HB/bcsstk02.mtx;0.001000 s;1;65.000000;0.484848
HB/lshp2233.mtx;0.003000 s;97;97.000000;0.000224
HB/can_838.mtx;0.002000 s;199;199.000000;0.000000
HB/dwt_607.mtx;0.002000 s;86;86.000000;0.000824
HB/lock1074.mtx;0.002000 s;22;792.000000;0.002793
HB/cegb3024.mtx;0.004000 s;97;452.000000;0.002646
HB/bcspwr09.mtx;0.002000 s;24;25.000000;0.000290
HB/dwt_878.mtx;0.002000 s;50;50.000000;0.000000
HB/bcsstk31.mtx;0.052000 s;1291;5005.000000;0.000000
HB/bcspwr01.mtx;0.001000 s;4;4.000000;0.012821
HB/bcsstk22.mtx;0.001000 s;7;7.000000;0.000000
HB/lshp_265.mtx;0.001000 s;33;33.000000;0.001887
HB/steam2.mtx;0.001000 s;21;336.000000;0.000000
HB/bcsstm07.mtx;0.002000 s;80;108.000000;0.000000
HB/bcsstk20.mtx;0.001000 s;7;16.000000;0.001031
HB/saylr3.mtx;0.002000 s;43;43.000000;0.000000
HB/orsirr_1.mtx;0.003000 s;95;95.000000;0.000000
HB/can_61.mtx;0.001000 s;19;22.000000;0.008197
HB/steam3.mtx;0.001000 s;1;16.000000;0.000000
HB/dwt_307.mtx;0.001000 s;59;59.000000;0.001629
HB/cegb3306.mtx;0.002000 s;26;936.000000;0.000907
HB/dwt_234.mtx;0.001000 s;12;12.000000;0.000000
HB/dwt_419.mtx;0.001000 s;47;47.000000;0.001193
HB/blckhole.mtx;0.003000 s;137;137.000000;0.000000
HB/bcsstk01.mtx;0.001000 s;30;30.000000;0.000000
HB/lshp1009.mtx;0.002000 s;65;65.000000;0.000496
HB/685_bus.mtx;0.002000 s;14;14.000000;0.000730
HB/plat362.mtx;0.002000 s;121;121.000000;0.000000
HB/ash85.mtx;0.001000 s;13;13.000000;0.005882
HB/bcspwr02.mtx;0.001000 s;6;6.000000;0.010204
HB/bcsstk23.mtx;0.006000 s;636;679.000000;0.000000
HB/lock2232.mtx;0.002000 s;14;504.000000;0.000000
HB/nos6.mtx;0.002000 s;26;26.000000;0.000741
HB/bcsstk25.mtx;0.024000 s;884;1280.000000;0.000032
HB/494_bus.mtx;0.001000 s;10;10.000000;0.000000
HB/bcsstm27.mtx;0.002000 s;32;1064.000000;0.000000
HB/nos2.mtx;0.001000 s;1;4.000000;0.000522
HB/ash292.mtx;0.001000 s;21;21.000000;0.000000
HB/bcsstm19.mtx;0.001000 s;0;0.000000;0.500000
HB/can_292.mtx;0.001000 s;79;85.000000;0.000000
HB/bcsstm23.mtx;0.001000 s;0;0.000000;0.500000
HB/dwt_2680.mtx;0.004000 s;87;87.000000;0.000000
HB/bcsstk33.mtx;0.022000 s;2719;10249.000000;0.000000
HB/sstmodel.mtx;0.004000 s;90;90.000000;0.000149
HB/young2c.mtx;0.002000 s;34;34.000000;0.000595
HB/dwt_1005.mtx;0.002000 s;88;88.000000;0.000498
HB/nos7.mtx;0.002000 s;91;91.000000;0.000686
HB/dwt_87.mtx;0.001000 s;12;12.000000;0.005747
HB/bcsstm06.mtx;0.001000 s;0;0.000000;0.500000
HB/bcsstk06.mtx;0.002000 s;100;108.000000;0.000000
HB/bcsstm20.mtx;0.001000 s;0;0.000000;0.500000
HB/saylr4.mtx;0.005000 s;96;96.000000;0.000000
HB/orsirr_2.mtx;0.002000 s;108;108.000000;0.000000
HB/jagmesh8.mtx;0.002000 s;39;39.000000;0.000438
HB/eris1176.mtx;0.002000 s;29;30.000000;0.000000
HB/bcsstm09.mtx;0.001000 s;0;0.000000;0.500000
HB/lock3491.mtx;0.004000 s;56;1515.000000;0.000143
HB/bcsstm13.mtx;0.002000 s;0;0.000000;0.175986
HB/bcsstk13.mtx;0.007000 s;1888;2412.000000;0.000250
HB/dwt_221.mtx;0.001000 s;19;19.000000;0.002262
HB/dwt_918.mtx;0.002000 s;60;60.000000;0.000000
HB/dwt_162.mtx;0.001000 s;15;18.000000;0.000000
HB/plskz362.mtx;0.001000 s;0;0.000000;0.500000
HB/dwt_592.mtx;0.002000 s;68;68.000000;0.000000
HB/can_187.mtx;0.001000 s;29;29.000000;0.002674
HB/can_96.mtx;0.001000 s;32;32.000000;0.000000
HB/can_73.mtx;0.001000 s;22;22.000000;0.006849
HB/hor_131.mtx;0.002000 s;113;113.000000;0.000000
HB/bcsstm01.mtx;0.001000 s;0;0.000000;0.500000
HB/lshp1561.mtx;0.003000 s;81;81.000000;0.000320
HB/bcsstk29.mtx;0.032000 s;1402;3184.000000;0.000000
HB/nos5.mtx;0.002000 s;206;206.000000;0.000000
HB/nos3.mtx;0.002000 s;92;254.000000;0.000000
HB/bcsstk05.mtx;0.001000 s;98;188.000000;0.003268
HB/can_144.mtx;0.001000 s;16;22.000000;0.000000
HB/bcspwr05.mtx;0.001000 s;19;19.000000;0.001129
HB/plsk1919.mtx;0.001000 s;0;0.000000;0.500000
HB/can_634.mtx;0.002000 s;176;182.000000;0.000000
HB/dwt_503.mtx;0.002000 s;135;135.000000;0.000994
